LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
1012053438T,2018-01-02 07:00,7,2
1012053438T,2018-01-03 05:00,5,1
1012053438T,2018-01-03 08:00,8,1
1012053438T,2018-01-03 09:00,9,1
1012053438T,2018-01-03 10:00,10,1
1012053438T,2018-01-04 08:00,8,1
1012053438T,2018-01-04 10:00,10,1
1012053438T,2018-01-05 08:00,8,1
1012053438T,2018-01-08 08:00,8,1
1012053438T,2018-01-09 03:00,3,1
1012053438T,2018-01-09 08:00,8,2
1012053438T,2018-01-09 15:00,15,1
1012053438T,2018-01-09 19:00,19,1
1012053438T,2018-01-10 04:00,4,1
1012053438T,2018-01-10 08:00,8,1
1012053438T,2018-01-10 12:00,12,2
1012053438T,2018-01-11 07:00,7,1
1012053438T,2018-01-12 08:00,8,1
1012053438T,2018-01-12 11:00,11,4
1012053438T,2018-01-14 10:00,10,1
1012053438T,2018-01-15 06:00,6,1
1012053438T,2018-01-15 09:00,9,1
1012053438T,2018-01-15 15:00,15,1
1012053438T,2018-01-16 08:00,8,2
1012053438T,2018-01-16 11:00,11,2
1012053438T,2018-01-16 19:00,19,1
1012053438T,2018-01-16 22:00,22,1
1012053438T,2018-01-17 06:00,6,1
1012053438T,2018-01-17 08:00,8,2
1012053438T,2018-01-17 09:00,9,1
1012053438T,2018-01-17 10:00,10,1
1012053438T,2018-01-17 13:00,13,2
1012053438T,2018-01-17 19:00,19,1
1012053438T,2018-01-18 08:00,8,1
1012053438T,2018-01-18 11:00,11,1
1012053438T,2018-01-18 13:00,13,1
1012053438T,2018-01-18 17:00,17,2
1012053438T,2018-01-19 09:00,9,1
1012053438T,2018-01-20 07:00,7,3
1012053438T,2018-01-20 09:00,9,1
1012053438T,2018-01-20 10:00,10,1
1012053438T,2018-01-20 12:00,12,2
1012053438T,2018-01-20 20:00,20,1
1012053438T,2018-01-22 15:00,15,1
1012053438T,2018-01-22 18:00,18,1
1012053438T,2018-01-22 21:00,21,1
1012053438T,2018-01-23 12:00,12,2
1012053438T,2018-01-23 13:00,13,2
1012053438T,2018-01-23 14:00,14,4
1012053438T,2018-01-23 15:00,15,1
1012053438T,2018-01-23 17:00,17,2
1012053438T,2018-01-24 08:00,8,3
1012053438T,2018-01-24 14:00,14,1
1012053438T,2018-01-24 17:00,17,1
1012053438T,2018-01-24 18:00,18,2
1012053438T,2018-01-25 08:00,8,1
1012053438T,2018-01-25 09:00,9,1
1012053438T,2018-01-25 11:00,11,1
1012053438T,2018-01-26 12:00,12,1
1012053438T,2018-01-28 20:00,20,1
1012053438T,2018-01-29 06:00,6,1
1012053438T,2018-01-29 17:00,17,1
1012053438T,2018-01-30 08:00,8,2
1012053438T,2018-01-30 09:00,9,1
1012053438T,2018-01-30 20:00,20,1
1012053438T,2018-01-31 08:00,8,1
1012053438T,2018-01-31 11:00,11,1
1012053438T,2018-01-31 13:00,13,2
1012053438T,2018-01-31 17:00,17,3
1012053438T,2018-01-31 18:00,18,1
1012053438T,2018-02-01 12:00,12,1
1012053438T,2018-02-01 17:00,17,2
1012053438T,2018-02-02 08:00,8,1
1012053438T,2018-02-02 09:00,9,2
1012053438T,2018-02-02 19:00,19,1
1012053438T,2018-02-03 09:00,9,1
1012053438T,2018-02-03 14:00,14,1
1012053438T,2018-02-04 14:00,14,1
1012053438T,2018-02-04 16:00,16,1
1012053438T,2018-02-05 07:00,7,1
1012053438T,2018-02-05 11:00,11,1
1012053438T,2018-02-05 12:00,12,2
1012053438T,2018-02-06 08:00,8,1
1012053438T,2018-02-06 12:00,12,1
1012053438T,2018-02-06 16:00,16,1
1012053438T,2018-02-07 07:00,7,1
1012053438T,2018-02-07 08:00,8,1
1012053438T,2018-02-07 09:00,9,1
1012053438T,2018-02-07 12:00,12,1
1012053438T,2018-02-07 13:00,13,3
1012053438T,2018-02-08 08:00,8,1
1012053438T,2018-02-08 13:00,13,1
1012053438T,2018-02-09 15:00,15,2
