LINK-DIR,DATE-TIME,EPOCH-60MIN,LENGTH,COUNT,MEAN
1212846345F,1/01/2018 10:00,10,64,30,97.4
1212846345F,1/01/2018 11:00,11,64,22,96.4
1212846345F,1/01/2018 12:00,12,64,16,93
1212846345F,1/01/2018 13:00,13,64,14,93.1
1212846345F,1/01/2018 14:00,14,64,21,97.7
1212846345F,1/01/2018 15:00,15,64,21,96.3
1212846345F,1/01/2018 16:00,16,64,13,93.7
1212846345F,1/01/2018 17:00,17,64,8,98.2
1212846345F,1/01/2018 18:00,18,64,8,95.4
1212846345F,1/01/2018 19:00,19,64,5,91.4
1212846345F,1/01/2018 20:00,20,64,2,96
1212846345F,1/01/2018 21:00,21,64,6,98.8
1212846345F,1/01/2018 22:00,22,64,6,92.5
1212846345F,1/01/2018 23:00,23,64,3,97.7
1212846345F,2/01/2018 0:00,0,64,3,96.7
1212846345F,2/01/2018 1:00,1,64,7,96.4
1212846345F,2/01/2018 2:00,2,64,4,99.2
1212846345F,2/01/2018 3:00,3,64,9,96
1212846345F,2/01/2018 4:00,4,64,4,97.2
1212846345F,2/01/2018 5:00,5,64,12,96.4
1212846345F,2/01/2018 6:00,6,64,32,97.8
1212846345F,2/01/2018 7:00,7,64,31,94.8
1212846345F,2/01/2018 8:00,8,64,43,92.4
1212846345F,2/01/2018 9:00,9,64,44,93.4
1212846345F,2/01/2018 10:00,10,64,40,95.9
1212846345F,2/01/2018 11:00,11,64,34,94
1212846345F,2/01/2018 12:00,12,64,44,91.8
1212846345F,2/01/2018 13:00,13,64,28,95.2
1212846345F,2/01/2018 14:00,14,64,47,94
1212846345F,2/01/2018 15:00,15,64,44,95.1
1212846345F,2/01/2018 16:00,16,64,33,94.8
1212846345F,2/01/2018 17:00,17,64,23,93.1
1212846345F,2/01/2018 18:00,18,64,13,93.4
1212846345F,2/01/2018 19:00,19,64,20,86.7
1212846345F,2/01/2018 20:00,20,64,10,96.3
1212846345F,2/01/2018 21:00,21,64,13,97.3
1212846345F,2/01/2018 22:00,22,64,1,98
1212846345F,2/01/2018 23:00,23,64,3,83.7
1212846345F,3/01/2018 0:00,0,64,5,79
1212846345F,3/01/2018 1:00,1,64,6,97.2
1212846345F,3/01/2018 2:00,2,64,2,90
1212846345F,3/01/2018 3:00,3,64,6,96.5
1212846345F,3/01/2018 4:00,4,64,4,94
