LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
132935986T,2018-08-30 10:00,10,1
132935986T,2018-08-31 07:00,7,2
132935986T,2018-08-31 11:00,11,1
132935986T,2018-09-03 07:00,7,2
132935986T,2018-09-04 07:00,7,2
132935986T,2018-09-04 11:00,11,1
132935986T,2018-09-07 13:00,13,2
132935986T,2018-09-07 14:00,14,1
132935986T,2018-09-09 17:00,17,1
132935986T,2018-09-10 07:00,7,2
132935986T,2018-09-11 07:00,7,2
132935986T,2018-09-11 10:00,10,2
132935986T,2018-09-12 15:00,15,1
132935986T,2018-09-12 16:00,16,2
132935986T,2018-09-13 10:00,10,1
132935986T,2018-09-13 11:00,11,1
132935986T,2018-09-14 14:00,14,1
132935986T,2018-09-15 11:00,11,1
132935986T,2018-09-17 11:00,11,1
132935986T,2018-09-17 17:00,17,1
132935986T,2018-09-18 06:00,6,2
132935986T,2018-09-18 07:00,7,2
132935986T,2018-09-18 11:00,11,2
132935986T,2018-09-18 12:00,12,2
132935986T,2018-09-18 14:00,14,1
132935986T,2018-09-19 07:00,7,2
132935986T,2018-09-20 17:00,17,2
132935986T,2018-09-24 07:00,7,1
132935986T,2018-09-24 14:00,14,2
132935986T,2018-09-24 15:00,15,1
132935986T,2018-09-24 18:00,18,1
132935986T,2018-09-25 07:00,7,2
132935986T,2018-09-25 10:00,10,2
132935986T,2018-09-26 10:00,10,1
132935986T,2018-09-27 07:00,7,1
132935986T,2018-09-28 08:00,8,2
132935986T,2018-09-28 11:00,11,2
132935986T,2018-10-02 08:00,8,2
132935986T,2018-10-02 14:00,14,2
132935986T,2018-10-03 06:00,6,2
132935986T,2018-10-03 09:00,9,2
132935986T,2018-10-03 18:00,18,1
132935986T,2018-10-04 10:00,10,1
132935986T,2018-10-05 09:00,9,1
132935986T,2018-10-05 14:00,14,1
132935986T,2018-10-06 17:00,17,1
132935986T,2018-10-08 07:00,7,1
132935986T,2018-10-08 15:00,15,2
132935986T,2018-10-09 07:00,7,3
132935986T,2018-10-09 09:00,9,1
132935986T,2018-10-12 09:00,9,1
132935986T,2018-10-15 07:00,7,2
132935986T,2018-10-16 07:00,7,3
