LINK-DIR,DATE-TIME,EPOCH-60MIN,LENGTH,COUNT,MEAN
988573468T,2018-11-06 08:00,8,52,3,32.3
988573468T,2018-11-06 09:00,9,52,7,20.9
988573468T,2018-11-06 10:00,10,52,12,16.3
988573468T,2018-11-06 11:00,11,52,2,45.0
988573468T,2018-11-06 12:00,12,52,3,19.7
988573468T,2018-11-06 13:00,13,52,5,22.0
988573468T,2018-11-06 14:00,14,52,5,23.0
988573468T,2018-11-06 15:00,15,52,4,14.2
988573468T,2018-11-06 16:00,16,52,3,27.0
988573468T,2018-11-06 18:00,18,52,4,21.0
988573468T,2018-11-06 19:00,19,52,2,17.5
988573468T,2018-11-07 04:00,4,52,2,61.0
988573468T,2018-11-07 05:00,5,52,5,37.8
988573468T,2018-11-07 06:00,6,52,9,28.8
988573468T,2018-11-07 07:00,7,52,12,24.6
988573468T,2018-11-07 08:00,8,52,4,21.2
988573468T,2018-11-07 09:00,9,52,7,23.6
988573468T,2018-11-07 10:00,10,52,6,21.7
988573468T,2018-11-07 11:00,11,52,11,28.4
988573468T,2018-11-07 12:00,12,52,4,24.8
988573468T,2018-11-07 13:00,13,52,6,15.5
988573468T,2018-11-07 14:00,14,52,12,24.0
988573468T,2018-11-07 15:00,15,52,5,15.0
988573468T,2018-11-07 16:00,16,52,6,20.5
988573468T,2018-11-07 17:00,17,52,2,4.0
988573468T,2018-11-07 18:00,18,52,1,14.0
988573468T,2018-11-07 19:00,19,52,1,43.0
988573468T,2018-11-08 05:00,5,52,4,29.0
988573468T,2018-11-08 06:00,6,52,4,28.5
988573468T,2018-11-08 07:00,7,52,11,21.0
988573468T,2018-11-08 08:00,8,52,3,24.0
988573468T,2018-11-08 09:00,9,52,9,15.9
988573468T,2018-11-08 10:00,10,52,4,12.5
988573468T,2018-11-08 11:00,11,52,6,29.0
988573468T,2018-11-08 12:00,12,52,8,25.8
988573468T,2018-11-08 13:00,13,52,6,13.5
988573468T,2018-11-08 14:00,14,52,11,15.6
988573468T,2018-11-08 15:00,15,52,11,13.8
988573468T,2018-11-08 16:00,16,52,4,14.8
988573468T,2018-11-08 17:00,17,52,3,12.0
988573468T,2018-11-08 18:00,18,52,5,14.4
988573468T,2018-11-08 19:00,19,52,5,17.2
988573468T,2018-11-08 20:00,20,52,1,31.0
988573468T,2018-11-09 04:00,4,52,1,35.0
988573468T,2018-11-09 05:00,5,52,1,40.0
988573468T,2018-11-09 06:00,6,52,5,20.0
988573468T,2018-11-09 07:00,7,52,11,19.5
988573468T,2018-11-09 08:00,8,52,6,12.7
988573468T,2018-11-09 09:00,9,52,16,22.6
988573468T,2018-11-09 10:00,10,52,9,18.9
988573468T,2018-11-09 11:00,11,52,4,30.8
988573468T,2018-11-09 12:00,12,52,4,17.5
988573468T,2018-11-09 13:00,13,52,11,17.1
988573468T,2018-11-09 14:00,14,52,14,18.7
988573468T,2018-11-09 15:00,15,52,4,15.8
988573468T,2018-11-09 16:00,16,52,3,17.3
988573468T,2018-11-09 17:00,17,52,4,28.0
988573468T,2018-11-09 18:00,18,52,1,27.0
988573468T,2018-11-09 19:00,19,52,2,28.0
988573468T,2018-11-09 20:00,20,52,2,31.0
988573468T,2018-11-09 21:00,21,52,1,53.0
988573468T,2018-11-09 22:00,22,52,2,9.0
988573468T,2018-11-12 04:00,4,52,3,31.3
988573468T,2018-11-12 05:00,5,52,3,43.3
988573468T,2018-11-12 06:00,6,52,6,26.7
