LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
132931457T,2018-01-01 12:00,12,2
132931457T,2018-03-03 14:00,14,1
132931457T,2018-03-03 16:00,16,2
132931457T,2018-03-04 12:00,12,1
132931457T,2018-03-07 14:00,14,1
132931457T,2018-03-09 09:00,9,4
132931457T,2018-03-09 10:00,10,2
132931457T,2018-03-09 13:00,13,3
132931457T,2018-03-10 07:00,7,2
132931457T,2018-03-10 10:00,10,2
132931457T,2018-03-10 12:00,12,3
132931457T,2018-03-11 06:00,6,1
132931457T,2018-04-06 17:00,17,2
132931457T,2018-08-17 13:00,13,1
132931457T,2018-08-31 17:00,17,2
132931457T,2018-09-18 11:00,11,1
132931457T,2018-09-19 05:00,5,3
132931457T,2018-09-26 10:00,10,2
132931457T,2018-12-18 16:00,16,2
132931457F,2018-01-29 16:00,16,3
132931457F,2018-03-03 14:00,14,1
132931457F,2018-03-03 18:00,18,2
132931457F,2018-03-04 12:00,12,1
132931457F,2018-03-07 14:00,14,1
132931457F,2018-03-09 17:00,17,4
132931457F,2018-03-10 16:00,16,2
132931457F,2018-03-10 17:00,17,4
132931457F,2018-04-06 05:00,5,1
132931457F,2018-04-06 09:00,9,2
132931457F,2018-04-06 14:00,14,1
132931457F,2018-04-06 15:00,15,2
