LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
130707708T,2018-01-02 08:00,8,2
130707708T,2018-01-02 11:00,11,2
130707708T,2018-01-02 13:00,13,1
130707708T,2018-01-02 14:00,14,1
130707708T,2018-01-02 15:00,15,1
130707708T,2018-01-02 17:00,17,1
130707708T,2018-01-03 07:00,7,2
130707708T,2018-01-03 11:00,11,2
130707708T,2018-01-03 13:00,13,2
130707708T,2018-01-03 15:00,15,2
130707708T,2018-01-03 17:00,17,2
130707708T,2018-01-04 07:00,7,2
130707708T,2018-01-04 09:00,9,2
130707708T,2018-01-04 10:00,10,2
130707708T,2018-01-04 14:00,14,2
130707708T,2018-01-05 09:00,9,2
130707708T,2018-01-05 13:00,13,3
130707708T,2018-01-05 15:00,15,2
130707708T,2018-01-06 10:00,10,2
130707708T,2018-01-06 11:00,11,1
130707708T,2018-01-07 07:00,7,2
130707708T,2018-01-07 08:00,8,2
130707708T,2018-01-09 09:00,9,2
130707708T,2018-01-09 10:00,10,1
130707708T,2018-01-09 11:00,11,2
130707708T,2018-01-09 12:00,12,2
130707708T,2018-01-11 13:00,13,1
130707708T,2018-01-11 15:00,15,2
130707708T,2018-01-12 07:00,7,2
130707708T,2018-01-12 13:00,13,2
130707708T,2018-01-13 08:00,8,2
130707708T,2018-01-13 10:00,10,2
130707708T,2018-01-13 12:00,12,2
130707708T,2018-01-13 14:00,14,1
130707708T,2018-01-14 13:00,13,1
130707708T,2018-01-14 14:00,14,1
130707708T,2018-01-15 09:00,9,2
130707708T,2018-01-15 12:00,12,2
130707708T,2018-01-15 14:00,14,1
130707708T,2018-01-15 18:00,18,2
130707708T,2018-01-16 10:00,10,2
130707708T,2018-01-18 08:00,8,1
130707708T,2018-01-18 14:00,14,1
130707708T,2018-01-19 07:00,7,2
130707708T,2018-01-19 14:00,14,2
130707708T,2018-01-19 17:00,17,3
130707708T,2018-01-20 09:00,9,1
130707708T,2018-01-21 17:00,17,1
130707708T,2018-01-23 08:00,8,2
130707708T,2018-01-23 11:00,11,4
130707708T,2018-01-23 12:00,12,1
130707708T,2018-01-23 16:00,16,1
130707708T,2018-01-24 13:00,13,2
130707708T,2018-01-25 12:00,12,2
130707708T,2018-01-25 14:00,14,2
130707708T,2018-01-26 07:00,7,2
130707708T,2018-01-27 11:00,11,2
130707708T,2018-01-27 13:00,13,2
130707708T,2018-01-27 16:00,16,2
130707708T,2018-01-28 09:00,9,2
130707708T,2018-01-28 12:00,12,4
130707708T,2018-01-28 17:00,17,2
130707708T,2018-01-29 15:00,15,1
130707708T,2018-01-29 17:00,17,2
130707708T,2018-01-30 08:00,8,2
130707708T,2018-01-30 09:00,9,2
130707708T,2018-01-30 11:00,11,1
130707708T,2018-01-30 14:00,14,2
130707708T,2018-01-31 10:00,10,1
130707708T,2018-01-31 17:00,17,2
130707708T,2018-02-01 15:00,15,1
130707708T,2018-02-02 08:00,8,1
130707708T,2018-02-03 08:00,8,2
130707708T,2018-02-03 11:00,11,2
