LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
971628006T,2018-01-02 09:00,9,1
971628006T,2018-01-03 05:00,5,1
971628006T,2018-01-03 10:00,10,1
971628006T,2018-01-04 10:00,10,1
971628006T,2018-01-08 10:00,10,1
971628006T,2018-01-09 09:00,9,2
971628006T,2018-01-09 15:00,15,1
971628006T,2018-01-09 16:00,16,1
971628006T,2018-01-09 19:00,19,2
971628006T,2018-01-10 11:00,11,1
971628006T,2018-01-11 07:00,7,1
971628006T,2018-01-11 19:00,19,1
971628006T,2018-01-12 10:00,10,1
971628006T,2018-01-13 08:00,8,1
971628006T,2018-01-15 06:00,6,1
971628006T,2018-01-16 08:00,8,1
971628006T,2018-01-16 10:00,10,1
971628006T,2018-01-16 11:00,11,2
971628006T,2018-01-16 13:00,13,1
971628006T,2018-01-16 14:00,14,2
971628006T,2018-01-17 06:00,6,4
971628006T,2018-01-17 07:00,7,3
971628006T,2018-01-17 08:00,8,1
971628006T,2018-01-17 09:00,9,1
971628006T,2018-01-17 14:00,14,2
971628006T,2018-01-18 07:00,7,1
971628006T,2018-01-18 10:00,10,1
971628006T,2018-01-18 11:00,11,2
971628006T,2018-01-18 14:00,14,1
971628006T,2018-01-19 06:00,6,2
971628006T,2018-01-19 07:00,7,1
971628006T,2018-01-19 09:00,9,1
971628006T,2018-01-19 14:00,14,2
971628006T,2018-01-20 08:00,8,1
971628006T,2018-01-20 09:00,9,2
971628006T,2018-01-21 07:00,7,1
971628006T,2018-01-21 11:00,11,1
971628006T,2018-01-22 06:00,6,1
971628006T,2018-01-22 07:00,7,3
971628006T,2018-01-22 10:00,10,2
971628006T,2018-01-22 11:00,11,2
971628006T,2018-01-23 07:00,7,5
971628006T,2018-01-23 08:00,8,1
971628006T,2018-01-23 10:00,10,1
971628006T,2018-01-23 11:00,11,1
971628006T,2018-01-23 12:00,12,1
971628006T,2018-01-23 14:00,14,2
971628006T,2018-01-23 15:00,15,1
971628006T,2018-01-24 06:00,6,1
971628006T,2018-01-24 07:00,7,3
971628006T,2018-01-24 08:00,8,2
971628006T,2018-01-24 09:00,9,3
971628006T,2018-01-24 10:00,10,1
971628006T,2018-01-24 11:00,11,2
971628006T,2018-01-24 13:00,13,1
971628006T,2018-01-24 14:00,14,1
971628006T,2018-01-24 15:00,15,1
971628006T,2018-01-24 17:00,17,1
971628006T,2018-01-24 18:00,18,1
971628006T,2018-01-25 06:00,6,1
971628006T,2018-01-25 07:00,7,2
