LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
1464943103T,2018-01-01 12:00,12,2
1464943103T,2018-01-02 05:00,5,1
1464943103T,2018-01-03 10:00,10,2
1464943103T,2018-01-03 12:00,12,2
1464943103T,2018-01-04 11:00,11,1
1464943103T,2018-01-05 08:00,8,2
1464943103T,2018-01-05 11:00,11,2
1464943103T,2018-01-05 13:00,13,2
1464943103T,2018-01-06 11:00,11,3
1464943103T,2018-01-06 12:00,12,1
1464943103T,2018-01-07 16:00,16,2
1464943103T,2018-01-07 18:00,18,2
1464943103T,2018-01-08 07:00,7,1
1464943103T,2018-01-08 10:00,10,2
1464943103T,2018-01-08 11:00,11,3
1464943103T,2018-01-08 14:00,14,2
1464943103T,2018-01-08 15:00,15,1
1464943103T,2018-01-09 05:00,5,1
1464943103T,2018-01-09 11:00,11,3
1464943103T,2018-01-09 13:00,13,2
1464943103T,2018-01-09 17:00,17,1
1464943103T,2018-01-10 09:00,9,2
1464943103T,2018-01-10 12:00,12,2
1464943103T,2018-01-10 17:00,17,2
1464943103T,2018-01-11 05:00,5,2
1464943103T,2018-01-11 11:00,11,2
1464943103T,2018-01-12 07:00,7,3
1464943103T,2018-01-12 08:00,8,1
1464943103T,2018-01-14 14:00,14,2
1464943103T,2018-01-14 18:00,18,3
1464943103T,2018-01-15 07:00,7,3
1464943103T,2018-01-15 09:00,9,2
1464943103T,2018-01-15 10:00,10,2
1464943103T,2018-01-15 13:00,13,1
1464943103T,2018-01-16 07:00,7,2
1464943103T,2018-01-16 10:00,10,3
1464943103T,2018-01-16 11:00,11,3
1464943103T,2018-01-16 12:00,12,2
1464943103T,2018-01-16 14:00,14,3
1464943103T,2018-01-16 16:00,16,2
1464943103T,2018-01-16 17:00,17,2
1464943103T,2018-01-17 06:00,6,1
1464943103T,2018-01-17 10:00,10,2
1464943103T,2018-01-17 15:00,15,3
1464943103T,2018-01-18 07:00,7,2
1464943103T,2018-01-19 07:00,7,3
1464943103T,2018-01-19 08:00,8,1
1464943103T,2018-01-19 10:00,10,1
1464943103T,2018-01-20 12:00,12,1
1464943103T,2018-01-20 14:00,14,1
1464943103T,2018-01-20 18:00,18,2
1464943103T,2018-01-21 11:00,11,4
1464943103T,2018-01-21 14:00,14,2
1464943103T,2018-01-22 05:00,5,2
1464943103T,2018-01-22 07:00,7,2
1464943103T,2018-01-22 08:00,8,3
1464943103T,2018-01-22 11:00,11,1
1464943103T,2018-01-22 16:00,16,3
1464943103T,2018-01-23 07:00,7,1
1464943103T,2018-01-23 08:00,8,4
1464943103T,2018-01-23 09:00,9,2
1464943103T,2018-01-23 11:00,11,1
1464943103T,2018-01-23 16:00,16,2
1464943103T,2018-01-24 07:00,7,2
1464943103T,2018-01-24 08:00,8,4
1464943103T,2018-01-24 09:00,9,2
1464943103T,2018-01-24 13:00,13,1
1464943103T,2018-01-24 14:00,14,6
1464943103T,2018-01-24 16:00,16,1
1464943103T,2018-01-25 07:00,7,1
1464943103T,2018-01-25 08:00,8,2
1464943103T,2018-01-25 09:00,9,1
1464943103T,2018-01-25 12:00,12,1
1464943103T,2018-01-25 16:00,16,2
1464943103T,2018-01-25 19:00,19,2
1464943103T,2018-01-28 08:00,8,2
1464943103T,2018-01-28 13:00,13,1
1464943103T,2018-01-28 17:00,17,2
1464943103T,2018-01-29 07:00,7,2
1464943103T,2018-01-29 08:00,8,3
1464943103T,2018-01-29 13:00,13,3
1464943103T,2018-01-29 14:00,14,2
1464943103T,2018-01-29 15:00,15,2
1464943103T,2018-01-29 16:00,16,5
1464943103T,2018-01-30 07:00,7,4
1464943103T,2018-01-30 08:00,8,6
1464943103T,2018-01-30 16:00,16,2
1464943103T,2018-01-31 07:00,7,1
1464943103T,2018-01-31 08:00,8,3
1464943103T,2018-01-31 11:00,11,1
1464943103T,2018-01-31 16:00,16,2
1464943103T,2018-01-31 17:00,17,1
1464943103T,2018-02-01 10:00,10,1
1464943103T,2018-02-01 16:00,16,2
1464943103T,2018-02-02 05:00,5,2
1464943103T,2018-02-02 07:00,7,2
1464943103T,2018-02-02 08:00,8,2
1464943103T,2018-02-02 10:00,10,1
1464943103T,2018-02-02 15:00,15,1
1464943103T,2018-02-02 16:00,16,3
1464943103T,2018-02-03 08:00,8,2
1464943103T,2018-02-04 11:00,11,2
1464943103T,2018-02-04 12:00,12,2
1464943103T,2018-02-04 16:00,16,1
1464943103T,2018-02-05 05:00,5,1
1464943103T,2018-02-05 07:00,7,2
1464943103T,2018-02-05 08:00,8,4
1464943103T,2018-02-05 09:00,9,2
1464943103T,2018-02-05 11:00,11,2
1464943103T,2018-02-05 12:00,12,1
1464943103T,2018-02-05 16:00,16,2
1464943103T,2018-02-06 08:00,8,3
1464943103T,2018-02-06 15:00,15,2
1464943103T,2018-02-06 16:00,16,1
1464943103T,2018-02-07 04:00,4,1
1464943103T,2018-02-07 08:00,8,4
1464943103T,2018-02-07 09:00,9,2
1464943103T,2018-02-07 16:00,16,3
1464943103T,2018-02-08 05:00,5,1
1464943103T,2018-02-08 07:00,7,2
1464943103T,2018-02-08 08:00,8,4
1464943103T,2018-02-08 16:00,16,2
1464943103T,2018-02-09 05:00,5,1
1464943103T,2018-02-09 08:00,8,3
1464943103T,2018-02-09 10:00,10,2
1464943103T,2018-02-09 12:00,12,1
1464943103T,2018-02-09 15:00,15,1
1464943103T,2018-02-09 16:00,16,2
1464943103T,2018-02-09 21:00,21,1
1464943103T,2018-02-10 05:00,5,2
1464943103T,2018-02-10 14:00,14,2
1464943103T,2018-02-10 16:00,16,4
1464943103T,2018-02-11 03:00,3,2
1464943103T,2018-02-11 05:00,5,1
1464943103T,2018-02-11 10:00,10,1
1464943103T,2018-02-11 15:00,15,4
1464943103T,2018-02-11 19:00,19,1
1464943103T,2018-02-12 05:00,5,2
1464943103T,2018-02-12 08:00,8,4
1464943103T,2018-02-12 10:00,10,2
1464943103T,2018-02-12 16:00,16,1
1464943103T,2018-02-13 04:00,4,2
