LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
961211275T,2018-01-01 13:00,13,1
961211275T,2018-01-02 09:00,9,1
961211275T,2018-01-02 10:00,10,1
961211275T,2018-01-03 06:00,6,1
961211275T,2018-01-03 09:00,9,1
961211275T,2018-01-03 10:00,10,2
961211275T,2018-01-03 22:00,22,2
961211275T,2018-01-04 07:00,7,2
961211275T,2018-01-04 11:00,11,2
961211275T,2018-01-05 07:00,7,2
961211275T,2018-01-05 12:00,12,2
961211275T,2018-01-06 06:00,6,1
961211275T,2018-01-06 13:00,13,2
961211275T,2018-01-07 14:00,14,3
961211275T,2018-01-08 09:00,9,1
961211275T,2018-01-08 10:00,10,3
961211275T,2018-01-08 16:00,16,2
961211275T,2018-01-09 08:00,8,2
961211275T,2018-01-09 12:00,12,1
961211275T,2018-01-11 02:00,2,1
961211275T,2018-01-11 10:00,10,1
961211275T,2018-01-11 11:00,11,2
961211275T,2018-01-12 02:00,2,1
961211275T,2018-01-12 05:00,5,1
961211275T,2018-01-12 13:00,13,2
961211275T,2018-01-12 14:00,14,2
961211275T,2018-01-12 16:00,16,2
961211275T,2018-01-13 09:00,9,2
961211275T,2018-01-13 10:00,10,2
961211275T,2018-01-13 14:00,14,3
961211275T,2018-01-13 18:00,18,2
961211275T,2018-01-14 07:00,7,2
961211275T,2018-01-14 09:00,9,1
961211275T,2018-01-14 13:00,13,2
961211275T,2018-01-15 12:00,12,1
961211275T,2018-01-15 14:00,14,2
961211275T,2018-01-17 12:00,12,1
961211275T,2018-01-18 02:00,2,1
961211275T,2018-01-18 10:00,10,2
961211275T,2018-01-19 10:00,10,2
961211275T,2018-01-20 06:00,6,1
961211275T,2018-01-20 11:00,11,2
961211275T,2018-01-20 12:00,12,2
961211275T,2018-01-20 18:00,18,1
961211275T,2018-01-22 05:00,5,2
961211275T,2018-01-22 10:00,10,1
961211275T,2018-01-22 12:00,12,1
961211275T,2018-01-23 11:00,11,2
961211275T,2018-01-23 12:00,12,1
961211275T,2018-01-25 02:00,2,1
961211275T,2018-01-27 08:00,8,1
961211275T,2018-01-28 10:00,10,2
961211275T,2018-01-29 09:00,9,1
961211275T,2018-01-29 13:00,13,1
961211275T,2018-01-29 23:00,23,1
961211275T,2018-01-30 11:00,11,2
961211275T,2018-01-30 15:00,15,2
961211275T,2018-01-31 12:00,12,2
961211275T,2018-02-01 13:00,13,1
961211275T,2018-02-02 10:00,10,1
961211275T,2018-02-03 17:00,17,2
961211275T,2018-02-04 12:00,12,1
961211275T,2018-02-05 07:00,7,1
961211275T,2018-02-06 09:00,9,1
961211275T,2018-02-07 07:00,7,1
961211275T,2018-02-07 11:00,11,2
961211275T,2018-02-07 14:00,14,2
961211275T,2018-02-09 10:00,10,1
961211275T,2018-02-10 09:00,9,4
961211275T,2018-02-10 12:00,12,1
961211275T,2018-02-10 20:00,20,4
961211275T,2018-02-11 14:00,14,4
961211275T,2018-02-13 11:00,11,2
961211275T,2018-02-13 13:00,13,2
961211275T,2018-02-14 14:00,14,2
961211275T,2018-02-14 15:00,15,1
961211275T,2018-02-14 18:00,18,1
961211275T,2018-02-15 07:00,7,2
961211275T,2018-02-15 08:00,8,2
961211275T,2018-02-15 12:00,12,2
961211275T,2018-02-16 10:00,10,2
961211275T,2018-02-17 09:00,9,2
961211275T,2018-02-18 08:00,8,1
961211275T,2018-02-19 10:00,10,3
961211275T,2018-02-19 11:00,11,1
961211275T,2018-02-19 13:00,13,1
961211275T,2018-02-19 15:00,15,2
961211275T,2018-02-20 11:00,11,2
961211275T,2018-02-20 12:00,12,1
961211275T,2018-02-21 12:00,12,1
961211275T,2018-02-21 13:00,13,2
961211275T,2018-02-22 07:00,7,4
961211275T,2018-02-22 10:00,10,2
961211275T,2018-02-22 11:00,11,1
961211275T,2018-02-22 12:00,12,1
961211275T,2018-02-24 05:00,5,1
961211275T,2018-02-24 10:00,10,3
961211275T,2018-02-25 09:00,9,2
961211275T,2018-02-27 09:00,9,1
961211275T,2018-02-28 09:00,9,1
961211275T,2018-03-01 10:00,10,2
961211275T,2018-03-01 12:00,12,2
961211275T,2018-03-01 13:00,13,2
961211275T,2018-03-01 14:00,14,2
961211275T,2018-03-02 11:00,11,1
961211275T,2018-03-02 13:00,13,2
961211275T,2018-03-03 09:00,9,2
961211275T,2018-03-04 13:00,13,2
961211275T,2018-03-05 10:00,10,2
961211275T,2018-03-06 11:00,11,2
961211275T,2018-03-06 15:00,15,1
961211275T,2018-03-08 11:00,11,1
961211275T,2018-03-10 10:00,10,1
961211275T,2018-03-10 12:00,12,1
961211275T,2018-03-12 10:00,10,2
961211275T,2018-03-13 09:00,9,2
961211275T,2018-03-13 11:00,11,2
961211275T,2018-03-13 15:00,15,2
961211275T,2018-03-15 05:00,5,1
961211275T,2018-03-15 10:00,10,1
961211275T,2018-03-15 11:00,11,1
961211275T,2018-03-15 14:00,14,1
961211275T,2018-03-16 09:00,9,3
961211275T,2018-03-16 15:00,15,1
961211275T,2018-03-17 08:00,8,2
961211275T,2018-03-18 09:00,9,1
961211275T,2018-03-18 13:00,13,2
961211275T,2018-03-20 09:00,9,1
961211275T,2018-03-20 16:00,16,4
961211275T,2018-03-22 07:00,7,2
961211275T,2018-03-22 08:00,8,2
961211275T,2018-03-22 14:00,14,1
961211275T,2018-03-23 07:00,7,2
961211275T,2018-03-23 09:00,9,1
961211275T,2018-03-24 03:00,3,1
961211275T,2018-03-24 08:00,8,1
961211275T,2018-03-24 13:00,13,1
961211275T,2018-03-25 09:00,9,1
961211275T,2018-03-25 12:00,12,2
961211275T,2018-03-26 13:00,13,1
961211275T,2018-03-27 08:00,8,1
961211275T,2018-03-27 09:00,9,2
961211275T,2018-03-27 10:00,10,2
961211275T,2018-03-27 12:00,12,1
961211275T,2018-03-28 12:00,12,1
961211275T,2018-03-30 11:00,11,1
961211275T,2018-03-31 06:00,6,1
961211275T,2018-03-31 11:00,11,3
961211275T,2018-03-31 12:00,12,1
961211275T,2018-04-01 10:00,10,1
961211275T,2018-04-01 11:00,11,2
961211275T,2018-04-01 13:00,13,2
961211275T,2018-04-02 09:00,9,3
961211275T,2018-04-03 09:00,9,2
961211275T,2018-04-03 12:00,12,1
961211275T,2018-04-04 09:00,9,2
961211275T,2018-04-05 02:00,2,1
961211275T,2018-04-05 07:00,7,1
961211275T,2018-04-05 08:00,8,2
961211275T,2018-04-05 10:00,10,2
961211275T,2018-04-06 09:00,9,2
961211275T,2018-04-06 13:00,13,1
961211275T,2018-04-06 15:00,15,2
961211275T,2018-04-07 08:00,8,2
961211275T,2018-04-07 10:00,10,1
961211275T,2018-04-08 14:00,14,2
961211275T,2018-04-09 11:00,11,1
961211275T,2018-04-10 09:00,9,3
961211275T,2018-04-10 16:00,16,2
961211275T,2018-04-10 19:00,19,2
961211275T,2018-04-11 06:00,6,2
961211275T,2018-04-11 07:00,7,1
961211275T,2018-04-11 12:00,12,2
961211275T,2018-04-11 14:00,14,1
961211275T,2018-04-12 02:00,2,1
961211275T,2018-04-12 04:00,4,1
961211275T,2018-04-12 05:00,5,1
961211275T,2018-04-12 08:00,8,2
961211275T,2018-04-12 10:00,10,2
961211275T,2018-04-12 12:00,12,2
961211275T,2018-04-13 13:00,13,1
961211275T,2018-04-13 14:00,14,2
961211275T,2018-04-14 08:00,8,1
961211275T,2018-04-15 12:00,12,2
961211275T,2018-04-16 05:00,5,1
961211275T,2018-04-16 13:00,13,2
961211275T,2018-04-17 11:00,11,2
961211275T,2018-04-18 10:00,10,1
961211275T,2018-04-19 11:00,11,1
961211275T,2018-04-22 10:00,10,3
961211275T,2018-04-22 13:00,13,2
961211275T,2018-04-22 15:00,15,2
961211275T,2018-04-23 11:00,11,1
961211275T,2018-04-24 10:00,10,2
961211275T,2018-04-24 13:00,13,2
961211275T,2018-04-24 18:00,18,3
961211275T,2018-04-24 19:00,19,1
961211275T,2018-04-25 10:00,10,2
961211275T,2018-04-26 11:00,11,1
961211275T,2018-04-27 07:00,7,1
961211275T,2018-04-27 09:00,9,1
961211275T,2018-04-27 12:00,12,5
961211275T,2018-04-30 10:00,10,2
961211275T,2018-04-30 14:00,14,2
961211275T,2018-04-30 15:00,15,2
961211275T,2018-05-01 10:00,10,2
961211275T,2018-05-02 07:00,7,2
961211275T,2018-05-02 14:00,14,2
961211275T,2018-05-02 20:00,20,2
961211275T,2018-05-03 13:00,13,1
961211275T,2018-05-04 09:00,9,1
961211275T,2018-05-04 16:00,16,2
961211275T,2018-05-05 10:00,10,4
961211275T,2018-05-05 14:00,14,1
961211275T,2018-05-06 11:00,11,2
961211275T,2018-05-06 19:00,19,1
961211275T,2018-05-07 08:00,8,2
961211275T,2018-05-07 11:00,11,1
961211275T,2018-05-07 14:00,14,1
961211275T,2018-05-08 11:00,11,2
961211275T,2018-05-08 16:00,16,1
961211275T,2018-05-09 09:00,9,1
961211275T,2018-05-09 12:00,12,1
961211275T,2018-05-10 10:00,10,1
961211275T,2018-05-11 08:00,8,1
961211275T,2018-05-11 14:00,14,1
961211275T,2018-05-12 10:00,10,1
961211275T,2018-05-16 09:00,9,1
961211275T,2018-05-17 12:00,12,1
